what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122230992
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1384122245304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122253066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122403064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384122433439
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122434791
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1384122436797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384122436802
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384122438522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384122447698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384122451606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384122465785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384122503390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384122510000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122525579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122526156
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1384122531206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122537395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122559390
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384122559407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122575141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122578156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122581810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122640627
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1384122640641
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122643803
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122643849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384122671791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384122672880
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122672880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1384122672891
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1384122724472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122736298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122745879
error,log,,,"Current file is not a match for the given config.",1384122745975
error,log,,,"Current file is not a match for the given config.",1384122745977
error,log,,,"Current file is not a match for the given config.",1384122745979
error,log,,,"Current file is not a match for the given config.",1384122745981
error,log,,,"Current file is not a match for the given config.",1384122745983
error,log,,,"Current file is not a match for the given config.",1384122745984
error,log,,,"Current file is not a match for the given config.",1384122745986
error,log,,,"Current file is not a match for the given config.",1384122745988
error,log,,,"Current file is not a match for the given config.",1384122745990
error,log,,,"Current file is not a match for the given config.",1384122745992
error,log,,,"Current file is not a match for the given config.",1384122745994
error,log,,,"Current file is not a match for the given config.",1384122745995
error,log,,,"Current file is not a match for the given config.",1384122745997
error,log,,,"Current file is not a match for the given config.",1384122745999
error,log,,,"Current file is not a match for the given config.",1384122746001
error,log,,,"Current file is not a match for the given config.",1384122746002
error,log,,,"Current file is not a match for the given config.",1384122746011
error,log,,,"Current file is not a match for the given config.",1384122746013
error,log,,,"Current file is not a match for the given config.",1384122746015
error,log,,,"Current file is not a match for the given config.",1384122746016
error,log,,,"Current file is not a match for the given config.",1384122746018
error,log,,,"Current file is not a match for the given config.",1384122746020
error,log,,,"Current file is not a match for the given config.",1384122746022
error,log,,,"Current file is not a match for the given config.",1384122746024
error,log,,,"Current file is not a match for the given config.",1384122746026
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122746155
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122746204
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384122749035
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1384122766195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384122773418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384122775075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122787608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122788278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122794531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384122824842
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122834459
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122836988
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122838893
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122838893
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122840730
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122841731
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122841731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384122842925
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122842925
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122844120
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384122848261
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384122848261
